"title","descrip","LiuyanType","answer","detail","type"
"疼和痒是一回事","瘙痒其实就是很轻微的疼痛， 二者其实是一个神经回路。","0","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	很长一段时间以来，人们认为瘙痒和疼痛是通过同样的通路来传递的，瘙痒只是程度较轻的疼痛。不过现在我们了解到，两者是通过不同的通路传递的，而且会相互抵消。当你制造疼痛，比如使劲挠痒时，就会压制住瘙痒感。<br>\n<br>\n此外，两者的生物学功能也不一样，当你感到疼痛时，你会撤退来保护自己。但是当你感到痒痒的时候，你会把手伸向痒的地方。如果蚊子落到你的皮肤上，你会想要移除它。所以可能存在的可能性是，身体的警告系统正告诉你，皮肤出了一些状况，你要解决它。”<br>\n<br>\n痒和痛来自不同的神经通路，不过它们能相互抵消，挠痒其实就是制造疼痛来抑制痒的感觉。<br>\n<br>\n<br>\n<h4><strong>参考资料：</strong></h4>\n[1] <a href=""http://www.guokr.com/question/350946/"">疼和痒是一回事吗</a>，窗敲雨，果壳网问答\n	</div>\n</div>","科学技术"
"公山羊也能产奶","日本兵库县南淡路市倭文庄田地区发生了件怪事儿，当地个体经营户玉置秀宪（56岁）饲养的公山羊“小聪”突然乳房膨大开始出奶了，一时成为热议的话题。","2","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	其实成年雄性哺乳动物分泌乳汁不是什么特别罕见的事情，达尔文在《人类的由来》第一章里就说过：“谁都知道，在一切哺乳动物的雄性，包括人在内，都存在有乳房的残留。在若干例子里，这种雄性的乳房居然变得很发达，并且流出丰富的乳汁来。”这种现象肯定是早就被观察到过了。既然雄性和雌性都有乳腺，那么因为各种原因受到刺激分泌乳汁也是可以理解的。<br>\n<br>\n不过，这一现象似乎在雄山羊里特别的多（相对其它物种而言），还不完全清楚是为啥。贾里德·戴蒙德曾经说：“我们知道，很多其他方面完全正常的雄山羊，睾丸也正常，也能让雌性受精，但就是完全自发地开始发育乳房、分泌乳汁，吓他们的主人一跳——可能也吓了自己一跳。”不同动物里雄性乳腺的退化程度是不一样的，大鼠和小鼠的乳腺连导管和乳头都没有，从外面根本看不出来；但是诸如灵长类之类的很多动物，雄性乳头却清晰可见，性成熟之前男女乳房都几乎没有区别。从结构上来说，有些雄性动物的确就是更容易泌乳。<br>\n<br>\n这里提到的这只山羊是因为什么原因泌乳还不好说。有可能是内分泌发生了紊乱，也有可能是小羊因为喝奶不足去衔公山羊的乳头、产生了机械刺激。<br>\n<br>\n这种现象人也有。一个挺猎奇的案例是：二战战俘营幸存的男性，战后释放回家时有多人出现了泌乳的现象。原因：战俘营里营养不良导致各器官萎缩，营养恢复之后性腺快速恢复功能、分泌大量激素；但是肝功能恢复较慢，来不及代谢这些额外的雌激素和雄激素，引发男性泌乳。但其实其他原因导致的性激素内分泌失调都可导致这一现象。外源摄入雌激素也是一样。<br>\n<br>\n<br>\n<h4><strong>参考资料：</strong></h4>\n[1] <a href=""http://www.guokr.com/question/352525/"">日本有只公山羊下奶了是怎么回事</a>，Ent，果壳网问答\n	</div>\n</div>","科学技术"
"冰水混合物浓度相同","溶液结成冰水混合物时冰和水中的溶质浓度相同。","0","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	溶液在理想狀態下緩慢結冰的話溶質會全部析出的，這就是很多物質要依靠結晶甚至重結晶來提純的原因。之所以有溶質在冰里只是因為結晶速度太快，超過了析出的速度而已，這也是化工裏面一個單元操作：結晶操作的技術核心，就是如何控制結晶速率以提高純度<br>\n<br>\n理论上如果等待足够长时间，冰水混合物里的冰成分会接近于纯冰。一般来说海水结的冰只要年龄在一年以上，就可以作为淡水来饮用了。<br>\n <br>\n <br>\n参考资料：<br>\n[1] <a href=""http://www.guokr.com/question/344441/"">溶液结成冰水混合物时，冰中的溶质浓度和水中的浓度相同么</a>，Ent 陆白白，果壳网问答<br>\n\n	</div>\n</div>","科学技术"
"长颈鹿没攻击力","长颈鹿是温驯的食草动物，没什么攻击力。","0","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	长颈鹿虽然不用角，但却用头的侧部撞击敌人。由于它的脖子很长，摆起来分量极重。<br>\n<br>\n公长颈鹿的头骨会增厚，它们利用长脖子摆动产生的能量来“抡动”头槌来互相打斗，在非洲有长颈鹿因为互相打斗头骨碎裂而死的实例。<br>\n<br>\n欧洲动物园中的长颈鹿曾有把大角斑羚一头撞飞，导致羚羊伤重难愈，不得不对其实施安乐死的记载。另有一头长颈鹿想撞饲养员，幸好没撞到人，但把墙撞了个大窟窿。<br>\n<br>\n长颈鹿的蹄子力道极大，能踢死狮子。<br>\n<br>\n<br>\n<h4><strong>参考资料：</strong></h4>\n[1] <a href=""http://www.guokr.com/question/346831/"">长颈鹿跑上街头... 这种动物攻击力高吗</a>，南川木菠萝，果壳网问答\n	</div>\n</div>","科学技术"
"干粉灭火器是用面粉做的","干粉灭火器是用面粉做的。","0","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	普通干粉灭火剂主要由活性灭火组分、疏水成分、惰性填料组成，其中灭火组分是干粉灭火剂的核心，目前市面上常见的灭火组分有：碳酸氢钠（钾）、磷酸铵盐、氯化钠（钾）干粉灭火剂。<br>\n<br>\n以碳酸氢钠（钾）为基料的干粉，用于扑灭易燃液体、气体和带电设备的火灾； <br>\n<br>\n以磷酸铵盐为基料的干粉，用于扑灭可燃固体、可燃液体、可燃气体及带电设备的火灾；<br>\n <br>\n以氯化钠、氯化钾、氯化钡、碳酸钠等为基料的干粉，用于扑灭轻金属火灾。<br>\n<br>\n灭火原理一是靠干粉中的无机盐的挥发性分解物，与燃烧过程中燃料所产生的自由基或活性基团发生化学抑制和负催化作用，使燃烧的链反应中断而灭火；二是靠干粉的粉末落在可燃物表面外，发生化学反应，并在高温作用下形成一层玻璃状覆盖层，从而隔绝氧，进而窒息灭火。另外，还有部分稀释氧和冷却作用。<br>\n<br>\n<br>\n参考资料：<br>\n[1] <a href=""http://www.guokr.com/question/343953/"">面粉可以做干粉灭火器么？干粉灭火器的原理是什么？是什么东西起到灭火的作用</a>，风荷晚香，果壳网问答<br>\n\n	</div>\n</div>","科学技术"
"蟹膏是螃蟹的生殖系统和精液","蟹膏是螃蟹的生殖系统和精液。","2","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	大闸蟹（河蟹，中华绒螯蟹）普及：公蟹中白色黏黏的是蟹膏，黄色的是肝胰腺；母蟹中橘红色一粒粒比较硬的是蟹黄，黄色的同样也是肝胰腺。蟹膏是雄性的副性腺，蟹黄是雌性的卵巢。蟹黄和蟹膏是螃蟹最好吃的部分，营养价值极高。<br>\n <br>\n副性腺，是生殖系统中一系列腺体的统称。人体中最著名的副性腺，就要数前列腺了。副性腺的分泌物，在雄性的精液中，按体积来说，占了大部分。这些分泌物对于精子的成熟和活跃必不可少。<br>\n <br>\n副性腺是一类统称，在高等动物中包括精囊腺、前列腺等，而低等动物的副性腺没有高等动物的前列腺那么复杂。成熟后，副性腺异常发达，占据生殖系统绝大部分，甚至将蟹壳顶起。副性腺富含蛋白、脂类和其他各类营养，营养价值高且十分美味。<br>\n<br>\n<br>\n<h4><strong>参考资料：</strong></h4>\n[1] <a href=""http://www.guokr.com/question/348393/"">蟹膏是什么呀？营养价值怎么样</a>，瘦驼 三蝶纪，果壳网问答<br>\n\n	</div>\n</div>","科学技术"
"冬天给树绑绳“穿衣”保温没用，因为树内部不发热","著名经济学家茅于轼说树干穿衣服没用，因为树内部不发热，无温可保。 ","0","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	给树干上绑绳子并不是为了保温，但确实是有其他意义的： <br>\n <br>\n<h2><strong>防止冻害</strong></h2>\n微博里面说的保温不确切，不过确实是为了防止冻害。当气温下降到零度以下时，植物组织中的水分会因为结成冰晶而对植物造成伤害。植物组织结冰可分为两种方式对植物造成伤害：胞外结冰与胞内结冰。胞间结冰引起植物受害的主要原因是： <br>\n <br>\n(1)原生质过度脱水，使蛋白质变性或原生质发生不可逆的凝胶化。 <br>\n(2)冰晶体对细胞的机械损伤。 <br>\n(3)解冻过快对细胞的损伤。 <br>\n <br>\n胞内结冰对细胞的危害更为直接。因为原生质是有高度精细结构的组织，冰晶形成以及融化时对质膜与细胞器以及整个细胞质产生破坏作用。胞内结冰常给植物带来致命的损伤。 <br>\n <br>\n<h2><strong>防止运输途中对树皮的损伤</strong></h2>\n树干下部是吊运时需要捆绑的地方。另外 放在车上的时候，这一部分更容易与车辆或者同类之间磨擦。 <br>\n <br>\n<h2><strong>防</strong><strong>曝晒</strong></h2>\n这点似乎比较有道理，不过夏天种树比较罕见，也会准备被防晒网等大型装备，给树绑绳子的方式防晒倒是不常见。 <br>\n <br>\n<h2><strong>防虫害</strong></h2>\n对于果园里的树，树干基部缠绑草绳，是利用某些昆虫的习性。本来是在树皮下过冬的害虫诱集其在草绳中越冬；桃小食心害虫，诱集它的出土幼虫入草绳化蛹，幼虫危害大。在树干交尾产卵的害虫，使其使其在草绳空隙处产卵，通过更换草绳，将卵集中消灭。 <br>\n <br>\n至于马路边上的树，则是在缠绕的绳子上喷洒除虫药来杀死爬上树树干的虫子。 <br>\n <br>\n <br>\n另外还有一些说法，例如保湿，防止水分蒸发等等，其实树皮本身没有什么蒸腾量，恐怕谈不上防水分丧失。 <br>\n <br>\n <br>\n<h4><strong>参考资料：</strong></h4>\n[1]<a href=""http://www.guokr.com/question/120773/"">树干上为什么要绑草绳？</a>史军，果壳网问答<br>\n\n	</div>\n</div>","自然环境"
"红酒“醒酒”能增加口感","红酒“醒酒”——用一段时间让各种香气展开，使口感更为顺滑，香气更加怡人。","2","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	醒酒主要是为了让酒大面积接触到氧气，给酒中的单宁一个氧化的机会。因为单宁比较酸，影响口感，氧化后酒的口感会更柔顺不涩。<br>\n<br>\n所以大部分醒酒器也都是尽可能利用各种奇怪的造型增大酒接触空气的面积而又不至于摊平，使酒的温度增加到难喝的程度。<br>\n<br>\n虽然“醒酒”是个红酒里面最常用的名词，但是通过氧化接触让酒的味道更好这个过程可不局限于红酒，陈年的黄酒，某些陈年的白酒也都是需要醒酒的。酒在长期酿造的过程中还会产生自然地沉淀物，醒酒过程中的倒来倒去也会过滤掉一部分沉淀物。但对于花香成分比较重的白葡萄酒，桃红葡萄酒和年份较轻，根本没有入过桶的一般红酒，就不用醒酒了。本来就那么点香气放放就没了，这酒还是拿去炖肉算了。香槟酒喝的就是气泡，所以也不要醒。<br>\n<br>\n要注意醒酒是一个破坏酒的过程，氧化过度也会破坏酒中的其他成分，让酒的口感变酸，香味减淡。放在室内也会让酒的温度升高，更加速氧化过程，所以醒酒的时间要控制好，早则青涩，晚则陈腐，中间成熟圆润的时候才刚刚好。当然这个过程很难把握。一般自家喝不挑剔的话，找个大口的红酒杯倒三分之一杯，放半小时左右就好。<br>\n<br>\n<br>\n<h4><strong>参考资料：</strong></h4>\n[1] <a href=""http://www.guokr.com/question/348488/"">喝红酒时所谓的“醒酒”真的能让口感更好吗？醒酒到底要怎么醒</a>，慕容晓舟，果壳网问答\n	</div>\n</div>","科学技术"
"男生学理科比女生更有优势","男性大脑右半球内部神经连接发达，而数理化正是右半球控制的。","新","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	.\n	</div>\n</div>","科学技术"
"昆虫不会睡觉","昆虫是不会睡觉的。","0","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	判断动物睡眠的标准有：在一定的时间内长期地不动 ；有特定的姿势和专门的场所；在不动时对外界的刺激反应阈值增加 ；有调节体内睡眠平衡机制。<br>\n<br>\n这四条昆虫都符合。昆虫习性有别 ，日行性的多在晚上会睡觉，夜行性的 多在白天睡觉。<br>\n<br>\n其实野外观察也很容易发现睡觉的昆虫，如晚间在草丛可以看到草茎上一动不动休息的蜻蜓，靠近后只要动作轻 在它面前做一些动作都不会惊醒它。<br>\n<br>\n提到特定睡姿，举个例子，无垫蜂就是在晚上用大颚咬着草茎和树枝睡觉的，身体悬空睡姿很特别。<br>\n<br>\n<img src=""https://3-im.guokr.com/RPsF0qGMHxusvXu7kNr_JuquiwP8Y6QLfMXwuS31SLRYAgAAoAEAAEpQ.jpg?imageView2/1/w/480/h/332"" style=""max-width: 480px"" data-orig-width=""600"" data-orig-height=""416"" data-hashkey=""RPsF0qGMHxusvXu7kNr_JuquiwP8Y6QLfMXwuS31SLRYAgAAoAEAAEpQ""><br>\n<br>\n<br>\n<h4><strong>参考资料：</strong></h4>\n[1]<a href=""http://www.guokr.com/question/452314/"">昆虫会睡觉吗</a>，三蝶纪，果壳网问答\n	</div>\n</div>","科学技术"
"初升的月亮看起来比较大","虽然月球在地平线上的时候由于必须要穿过地球半径才能看到它，比在我们头顶时还要远了6,500千米，但月球靠近地平线时看起来比在头顶时要大。","2","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	同样的效应还会发生在太阳身上。当在地平线上时，由于地球大气中粒子和尘埃而变红的太阳看起来似乎巨大。有时，太阳会因为大气弯曲光线的折射特性而变成一个椭圆形，类似于浸入水中的棍子看上去会弯一样。<br>\n<br>\n这一折射作用能放大太阳的视大小吗？简单的实验就能证明，它的效果刚好相反。地球的大气就像一个弱透镜，会压缩太阳的垂直高度，使得它具有椭圆的形状，因而也比圆形时看上去要小。同样的效应也会出现在靠近地平线的满月之上。它看上去会像一个巨大的宇宙南瓜，和太阳一样因大气中的尘埃和薄雾而变红。<br>\n<br>\n既然大气折射和距离变化都不会导致月亮或太阳在地平线附近看上去会比在高处时大，那又会是什么原因呢？这一效应位于月亮而言尤其明显，因为可以比较它在高处时的外形，而太阳过于明亮无法轻易做到这一点。当不熟悉天文学的人被月亮的大小所困惑的时候，他们几乎所有人都坚持认为月亮在靠近地平线时较大。为什么？<br>\n<br>\n早在公元前350年亚里士多德就注意到了月径幻觉，有时也被称为地平线幻觉，但他错误地将其归结为地平线附近大气中“蒸汽”对图像的扭曲。在1000年前后，阿拉伯物理学家伊本·阿尔哈曾给出了第一个现代解释。他认为，诸如遥远树木或者房屋这样熟悉的背景提供了一个当月亮在头顶方向上时所不具有的参考架。由于和这些熟悉的物体比较之后看起来巨大，因此大脑就保留了其巨大的观念。<br>\n<br>\n阿尔哈曾的理论听上去似乎可行，但却无法解释在一望无际的沙漠或者海洋地平线上所出现的同一效应。这一效应甚至在天文馆中都会出现。投影出的月亮像在靠近地平线处似乎要比在天文馆圆顶的高处时更大，尽管在后一种情况月亮像其实有可能更接近观众。很显然，除了与地平线附近的物体进行比较之外，还有其他的思维因素也参杂在其中。直到1959年美国威斯康辛州大学的一个实验才发现了它。<br>\n<br>\n在这个实验中，一个20英寸（50.80厘米）的圆盘被悬挂在地面上方85英尺（25.91米）的地方，另一个则被放置在85英尺（25.91米）远的地面上。各个年龄段的人都被要求站在到这两个圆盘距离相同的一个点上。他们并不知道这两个圆盘的大小是完全一样的，进而看上去应该是一样大。结果，参加实验的每一个人都觉得地上的圆盘较大。年幼的儿童肯定还过分估计了这一差异，一些人说地平线上的圆盘看上去要比头顶的大3或者4倍。<br>\n<br>\n不知何故，幻觉似乎和向上看有关。随着进一步的测试，一些科学家把志愿者放入一个漆黑房间，在其正前方和头顶处相同距离上各有一个完全相同的圆盘。再一次地，每个人都认为地平线上的圆盘较大。于是很明显，这涉及到了两个因素：（1）和遥远的地平线有关；（2）向前看和向头顶方向看截然相反。<br>\n<br>\n然而，还不止这些，但没有人确定它是什么。即便我们完全知晓月径幻觉及其各种解释，我们仍能完全地看到这一效应。它是自然界中最强大的幻觉之一。<br>\n<br>\n不过，有几种方式可以减小这一幻觉。当月亮在地平线附近时，尝试通过一个圆筒来看月亮。没有了地平线上的参照，它看上去似乎会小一些。另一个抵消这一效应的方法是躺下，从一个地面平坦的位置来看地平线附近的月亮。月亮看上去不会和站立的时所见的一样大，尤其是如果你伸脖子看头顶方向或者你脚的方向时。或者尝试弯腰从你的两腿之间去看月亮。再一次地，它会看起来小一些。<br>\n<br>\n如果这一切仍无法让你信服，这里还有最后一招：在一个手臂的距离上举起的一片阿斯匹林药片只比月球稍大一点。它能很好地覆盖住月球，无论它是盘旋在地平线上还是高悬在空中。试一下。<br>\n<br>\n<br>\n<h4><strong>参考资料：</strong></h4>\n[1] <a href=""http://www.guokr.com/question/454027/"">为什么初升的月亮显得大？难道只是因参照物而产生的错觉吗</a>，Shea，果壳网问答\n	</div>\n</div>","科学技术"
"红色月亮出现预示着将会有灾难降临","天空悬挂着红色的月亮，这是不详的征兆，预示着灾难的降临。。。。","0","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	这并不是什么灾难的前预兆，只不过是正常的自然现象。<br>\n <br>\n当月球位于地平线附近，也就是刚升起和快落山的时候。此时地平线附近的大气对月光的折射作用要强，而月光是反射的阳光，这种折射作用对其中波长最长的红光最明显，因此呈现红色。和刚升起和快落山的太阳也是红色的道理是一样的。<br>\n <br>\n另外月全食的时候，此时虽然没有阳光直接照射到月球上，但地球大气可以把波长最长的红光折射到月球上。因此可能使地球上的人观察月亮时，能看见“红色”的月球。<br>\n <br>\n <br>\n<h4><strong>参考资料：</strong></h4>\n[1]<a href=""http://www.guokr.com/question/157799/"">月亮为何有时是红色的？</a>天羽_Terry，果壳网问答<br>\n \n	</div>\n</div>","科学技术"
"可以用ATM玩愤怒的小鸟","近日俄罗斯有位安全系统大神成功破解了一台ATM自动取款机，并在上边玩起了《愤怒的小鸟》。","2","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	<br>\n简化的来说，ATM就是一台加了点钞、验钞、吐钞、监控、凭条打印机、磁条读写器、密码键盘、钱箱等外设的PC。操作系统很大部分是windows，就近10年来说，大部分是windows xp。<br>\n <br>\n既然是windowsPC机，那运行windows应用程序当然没问题了，上面提到的《愤怒的小鸟》是有PC桌面版的。我们日常去ATM操作，看到的界面实质上是一个全屏运行的应用程序，留给客户能交互的就是那几个按键，当然有高端的比如平安银行，部分的浦发和工行建行什么的我有看到支持触屏，有语音提醒。这些要看各银行或者各地方分行的预算了，钱多你就高配，钱少你就普配。<br>\n <br>\n就视频而言，操作者可能是ATM厂商开发人员或者银行科技系统的人员，在做系统测试之类的东西。既然是测试，取款、回单打印当然不成问题。把程序装上去，自然是能跑起来。<br>\n <br>\n破解一台生产环境运行中的ATM，是不可能的。<br>\n<br>\n日常中你去ATM取款也知道，不管是有人值守的银行网点里的ATM，还是那些街边无人值守的24小时服务的ATM，都是用坚固的金属外壳包裹的，留给你能操作能反馈的，只有屏幕、数个按键、密码键盘、银行卡插槽、凭条回单吐出口、现金吐出槽。对应已经全屏运行中的应用程序，只对有限制的几个按键有响应，比如到了密码输入界面，你按密码键盘上的数字，系统才有反馈；到了系统功能菜单界面，你按了“取款”对应的按键，界面才会响应跳转至取款。对应这些有限的交互，要破解几乎是不可能的。<br>\n<br>\n既然是PC既然是windows，那就有漏洞，当然能破解了。是的，这是没错，但是前提是你能找到接入点。对于银行系统和ATM来说，接入点无非两个，一是网络，二是通过鼠标键盘直接连接到PC上。对于银行生产网络的安全防范无需多言，重重防护，物理隔离。通过外设直连ATM的PC，这个，你可以先抬头看看ATM周围的监控，以及其坚固度，撬开外壳还不被发现，基本是不可能的。<br>\n<br>\n所以，视频估计是哪个苦逼开发或者测试人员录制来娱乐大家的，然后被微博营销号拿来做噱头。<br>\n<br>\n<br>\n<h4><strong>参考资料：</strong></h4>\n[1] <a href=""http://www.guokr.com/question/445521/"">破解ATM自动取款机，在上面玩愤怒的小鸟。这有可能吗</a>，小马哥-__-，果壳网问答\n	</div>\n</div>","科学技术"
"小型鸟类不愿飞","娇凤和很多小型鸟类，尤其是和人类比较紧密的（鸽子麻雀），常常不愿意飞。","2","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	飞行是一种非常耗能的移动方式，大部分鸟类之所以没有放弃这种运动方式，是因为飞行虽然高耗能，但是极为高效，可以节省时间、扩大觅食范围。如果要长距离移动，飞行是最经济的方式。<br>\n<br>\n假如老鼠和麻雀同时奔向100米外的一块面包，此时假定老鼠奔跑每分钟耗能为1，麻雀飞行每分钟耗能为10，最可能出现的情况是麻雀半分钟就飞到目的地开吃了，耗了5个能，而老鼠五分钟之后才跑到，耗能也是5，但此时麻雀已经把面包吃完了。<br>\n<br>\n节约能量是所有生物的本性，家养的宠物鸟衣食无忧，当然不必靠飞行迅速移动。<br>\n<br>\n很多岛屿鸟类在食物充足又没有天敌的情况下很快就丢弃了飞行这种运动方式。<br>\n<br>\n<br>\n<h4><strong>参考资料：</strong></h4>\n[1] <a href=""http://www.guokr.com/question/448499/"">【谁来一战】娇凤和很多小型鸟类，尤其是和人类比较紧密的（鸽子麻雀），常常宁愿滚也不愿意飞，飞行对小鸟来说压力很大吗</a>，南川木菠萝，果壳网问答\n	</div>\n</div>","科学技术"
"光在介质里传播速度会变慢","光在介质里传播速度会变慢。","2","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	这个问题直接涉及“折射率”在量子层面的起源。<br>\n<br>\n介质中折射率分两种，一种是“相折射率”，用<img src=""http://img1.guokr.com/formula/06b2ac6d16ff22d765a06aafc91469373caeffe8.svg"" class=""edui-faked-insertmathjax"" data-code=""n_p"" style=""max-width: 480px"">表示，于是介值中的光速（相速度）<img src=""http://img1.guokr.com/formula/ba39be6543a56f83cf0f5ecdcd06f79249ef9544.svg"" class=""edui-faked-insertmathjax"" data-code=""v_p=c/n_p"" style=""max-width: 480px"">。另一种是“群折射率”，用<img src=""http://img1.guokr.com/formula/9e494ecb1282cd1f614e4bb4fb3cb792985f030d.svg"" class=""edui-faked-insertmathjax"" data-code=""n_g"" style=""max-width: 480px"">表示，介质中的光速（群速度）<img src=""http://img1.guokr.com/formula/5231e229c353ea8f528f90f6847f6681e43e1abe.svg"" class=""edui-faked-insertmathjax"" data-code=""v_g=c/n_g"" style=""max-width: 480px"">。对于无色散（色散就是<img src=""http://img1.guokr.com/formula/06b2ac6d16ff22d765a06aafc91469373caeffe8.svg"" class=""edui-faked-insertmathjax"" data-code=""n_p"" style=""max-width: 480px"">随光的频率发生改变）介质来说，两者相等。对于有色散的介质来说:<br>\n<br>\n<img src=""http://img1.guokr.com/formula/dce07ed3ef61c3fd36f9d55a7c636a7a67afd06b.svg"" class=""edui-faked-insertmathjax"" data-code=""n_g=n_p+\omega(dn_p/d\omega)"" style=""max-width: 480px""><br>\n<br>\n<img src=""http://img1.guokr.com/formula/73b077a63e22815fe5c8ee82dab9894be842b19c.svg"" class=""edui-faked-insertmathjax"" data-code=""\omega"" style=""max-width: 480px"">是光的频率。上面的公式是通过波的最基本性质得出的，所以只要量子层面上能解释相折射率和色散，等同于同时解释群折射率。<br>\n<br>\n在量子光学中，最容易被量子力学描述的系统是激光和二能级原子相互作用系统（比如氢原子的电子基态和第一激发态）。考虑自发辐射，你会得到一组光学Bloch方程（这个方程是原子钟，冷原子物理，还有很多量子信息研究的物理基础）。这个方程的密度矩阵解的布居数相干项，虚部对应二能级原子对光的吸收，实部就对应相对介电常数，也就是<img src=""http://img1.guokr.com/formula/5ad2a072f73163084e81190ccb901672363c5068.svg"" class=""edui-faked-insertmathjax"" data-code=""n_p^2"" style=""max-width: 480px"">。布居数相干项<img src=""http://img1.guokr.com/formula/4eae7147f0cc5d3a69c84af0b7db0d4d98f4823e.svg"" class=""edui-faked-insertmathjax"" data-code=""\rho_{eg}"" style=""max-width: 480px"">本身是频率<img src=""http://img1.guokr.com/formula/73b077a63e22815fe5c8ee82dab9894be842b19c.svg"" class=""edui-faked-insertmathjax"" data-code=""\omega"" style=""max-width: 480px"">的函数，所以它的实部同时解释了“相折射率”和“色散”的起源，这也就意味着解释了群折射率的起源。<br>\n<br>\n对于多能级原子系统来说，同样会用光学Bloch方程（只不过更复杂一些），所以原子系统的折射率起源可以在量子层面得到很好解释。但是在一些凝聚态光学介质中（如玻璃，水等等），情况就复杂的多。里面除了多能级系统，还存晶格对自发辐射光子的衍射等等一系列过程，因此折射率起源会复杂很多，光学Bloch方程就不够用了。但原则上都是量子过程，可以从头计算得到折射率，只不过难以列方程和计算。这就跟量子化学算一些小分子很容易，越大的分子越难算一样。<br>\n<br>\n最后要指出的是，介质中的相折射率和群折射率都可以小于1，这意味着在介质中光无论相速度或群速度都可以大于真空中的光速c，所以这个问题本身就是错的。但请放心，这个“超光速”是casual的，不会违反狭义相对论。用多能级原子气体做超光速的实验非常多，而且还能让群速度为零（如EIT），甚至能把群速度降为负数。<br>\n<br>\n<br>\n参考资料：<br>\n[1]<a href=""http://www.guokr.com/question/453747/"">光在介质里传播为什么会变慢</a>，九维空间，果壳网问答\n	</div>\n</div>","科学技术"
"女性胸越大哺乳能力越强","女性的哺乳能力和胸部大小有关，胸越大，哺乳能力越强。","0","\n		","<div class=""rumor-content"">\n	\n	<h2>论证</h2>\n	<div class=""content"">\n	胸大胸小和产奶量没关系。<br>\n<br>\n乳房主要由腺体、导管、脂肪组织和纤维组织等构成。乳房的纵切面犹如一棵倒生的树。“根”就是乳头，而“树冠”则是分支众多的呈辐射状排列的乳腺叶。乳房的皮下为脂肪组织。脂肪组织的量决定乳房的大小。由脂肪组织发出的纤维隔将乳腺分为15到20个乳腺叶。每个乳腺叶都有一个输乳管。输乳管会在近乳头处形成膨大的输入管窦，末端变细并开口于乳头。<br>\n<br>\n而产奶是乳腺负责的，乳腺的大小几乎和乳房大小没啥关系，乳房的大小主要是来自脂肪。<br>\n<br>\n事实上，（因为人类的胸部中几乎都是脂肪……）人类是唯一一种女性在非哺乳期仍然保有大胸的动物。其他动物都只是在哺乳期才会有大胸。<br>\n<br>\n为何人类在灵长类中如此特立独行，原因尚且不明。有一种猜测认为人类女性一直保持着大乳房是为了显示自己是如此的年轻，以此吸引男性。<br>\n<br>\n<br>\n参考资料：<br>\n[1]<a href=""http://www.guokr.com/question/452508/"">胸部大小真的和哺乳能力相关么</a>，C.CristataX，果壳网问答\n	</div>\n</div>","科学技术"
